state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density
South Dakota,Clay,14996,15155,15280,375,1887,1703,3365,5.1,25.7,23.2,45.9,2167.0,85.99177475482442,2.6194242328377095,6.010756089844986,2.897817146472635,0.10756089844985764,2.24,13.0487207889216
South Dakota,Codington,28350,28467,28721,1620,7450,6270,3896,8.4,38.7,32.6,20.3,2712.0,92.13108052868239,0.8277694508788662,4.026434119089794,1.0934732252350456,0.08175500749420903,2.29,15.7190125492526
South Dakota,Corson,3891,3843,3826,302,776,743,334,14.0,36.0,34.5,15.5,1615.0,26.878824969400245,1.003671970624235,70.57527539779682,0.7343941248470013,0.12239902080783352,3.51,0.651608542102345
South Dakota,Custer,8334,8635,9006,469,2399,2003,1776,7.1,36.1,30.1,26.7,822.0,91.22045895650189,0.936179929215664,4.7494006165087335,0.5480077634433155,0.11416828405069071,2.07,2.12599040362154
South Dakota,Davison,19962,19926,19973,1358,4528,4478,3057,10.1,33.7,33.4,22.8,2183.0,89.18152544816648,1.3841495650502234,4.556158984956986,0.9612149757293218,0.12976402172345847,2.17,17.6382745804277
South Dakota,Day,5442,5435,5479,314,1487,1278,828,8.0,38.1,32.7,21.2,765.0,84.90532959326788,0.45582047685834504,11.58835904628331,0.8064516129032258,0.21037868162692847,2.06,2.06698081358846
South Dakota,Deuel,4294,4280,4352,250,1072,956,690,8.4,36.1,32.2,23.2,386.0,94.6246314356997,0.6350646405080518,1.5876616012701295,0.27217056021773645,0.13608528010886822,2.36,2.66974828283275
South Dakota,Dewey,5224,5218,5140,481,1059,863,495,16.6,36.5,29.8,17.1,1237.0,19.049360146252287,0.8957952468007313,79.17733089579525,0.31078610603290674,0.12797074954296161,3.43,0.969075244086619
South Dakota,Douglas,2829,2809,2776,189,611,727,376,9.9,32.1,38.2,19.8,310.0,93.50253807106598,0.5752961082910322,3.2148900169204735,0.4399323181049069,0.47377326565143824,2.26,2.61991061283459
South Dakota,Edmunds,3982,4028,4065,205,924,959,683,7.4,33.3,34.6,24.6,389.0,95.10284035259549,0.6856023506366308,2.22820763956905,0.9059745347698335,0.07345739471106758,2.45,1.35103791250186
South Dakota,Fall River,6972,7189,7370,352,1936,1882,1184,6.6,36.2,35.2,22.1,948.0,86.1580013504389,1.0938555030384873,9.00742741390952,1.012829169480081,0.3916272788656313,2.07,1.50323139260332
South Dakota,Faulk,2128,2126,2126,124,443,533,373,8.4,30.1,36.2,25.3,315.0,93.58974358974359,0.7783882783882784,3.4340659340659343,0.4120879120879121,0.13736263736263737,2.19,0.913249341807099
South Dakota,Grant,7532,7532,7463,420,1974,1549,1290,8.0,37.7,29.6,24.7,730.0,90.54190934413776,0.4431501645986326,2.2663965560901493,0.7090402633578121,0.06330716637123322,2.2,4.08909724873123
South Dakota,Gregory,3997,3952,3962,267,1069,911,529,9.6,38.5,32.8,19.1,560.0,87.79028010533875,0.622456308355279,9.121378980129279,1.3167344984438591,0.19152501795547042,2.25,1.59812378304928
South Dakota,Haakon,1870,1834,1826,55,601,430,207,4.3,46.5,33.3,16.0,193.0,91.13475177304964,0.7598784194528876,4.508611955420466,1.21580547112462,0.60790273556231,2.25,0.443991149999898
South Dakota,Hamlin,6157,6263,6352,284,1425,1147,767,7.8,39.3,31.7,21.2,473.0,92.9866036249015,0.37825059101654845,1.702127659574468,0.44129235618597323,0.14184397163120568,2.62,4.56713565877378
South Dakota,Hand,3145,3095,3140,154,636,827,539,7.1,29.5,38.4,25.0,264.0,95.08500772797527,1.3292117465224111,0.7109737248840804,0.6491499227202473,0.21638330757341576,2.14,0.887149679198345
South Dakota,Hanson,3465,3496,3461,103,774,867,389,4.8,36.3,40.6,18.2,276.0,96.01906363891224,0.5046257359125316,1.5419119708438465,0.3924866834875245,0.28034763106251753,3.18,3.01801466725632
South Dakota,Harding,1307,1320,1330,44,292,311,194,5.2,34.7,37.0,23.1,150.0,91.98834668608885,0.8011653313911145,4.224326292789512,0.29133284777858703,0.14566642388929352,2.25,0.189469123579417
South Dakota,Hughes,17745,17768,17692,457,3618,3980,4251,3.7,29.4,32.3,34.5,1652.0,80.7154627119545,1.2597671822675809,14.718545686493382,1.1056184553234465,0.10630946685802371,2.19,9.17291131205714
South Dakota,Hutchinson,7421,7400,7368,475,1520,1712,1258,9.6,30.6,34.5,25.3,889.0,95.0026301946344,0.5523408732246186,2.1567596002104157,0.44713308784850075,0.17096265123619148,2.43,3.47391293999284
South Dakota,Hyde,1249,1215,1184,87,331,422,169,8.6,32.8,41.8,16.7,137.0,85.2409638554217,0.9036144578313252,9.939759036144578,1.5060240963855422,0.2259036144578313,2.16,0.597123449079792
South Dakota,Jackson,2801,2846,2821,238,668,579,246,13.7,38.6,33.4,14.2,801.0,40.41986004665112,0.866377874041986,56.781072975674775,0.56647784071976,0.39986671109630123,3.55,0.680900106514009
South Dakota,Jerauld,1648,1640,1650,108,603,379,263,8.0,44.6,28.0,19.4,209.0,93.48079161816065,0.46565774155995343,1.4551804423748544,0.9313154831199069,0.4074505238649592,2.17,1.48898059473161
South Dakota,Jones,925,884,884,38,228,144,258,5.7,34.1,21.6,38.6,113.0,84.90566037735849,1.2909632571996028,10.824230387288978,0.29791459781529295,1.1916583912611718,1.82,0.292660933061515
South Dakota,Kingsbury,5203,5201,5294,281,1366,1038,849,8.0,38.7,29.4,24.0,470.0,95.44431946006749,0.562429696287964,1.124859392575928,0.6561679790026247,0.31871016122984624,2.13,2.30435528070382
South Dakota,Lake,11008,10863,10972,680,2139,2400,2574,8.7,27.4,30.8,33.0,986.0,91.71011470281543,1.6597149808828642,2.233229058046576,1.0775112964893987,0.15641293013555788,2.54,8.62484113725465
South Dakota,Lawrence,25838,26138,27214,1011,5067,5692,6207,5.6,28.2,31.7,34.5,3307.0,90.68021201413427,1.0048586572438163,4.339664310954064,1.155771495877503,0.11778563015312131,2.17,12.1778229215067
South Dakota,Lincoln,65650,67995,70987,1708,9592,12939,17019,4.1,23.2,31.4,41.3,2657.0,90.62532072428708,2.589252987317645,2.0130488967084528,2.206583095081006,0.09530093101678763,2.82,36.7272984287328
South Dakota,Lyman,3709,3753,3692,204,778,722,592,8.9,33.9,31.4,25.8,767.0,52.27331107115335,1.0531723606473156,44.79835602363216,0.5394297456974056,0.20549704597996404,2.71,0.909680872372643
