state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Hawaii,Kauai,73186,73791,73810,4153,15503,17036,15772,7.9,29.5,32.5,30.1,8101.0,37.88753874157524,1.1049343238057756,2.4420721208245197,35.68357357209623,19.63496826880504,3.13,44.4580138369705,12864.0,17.428532719143746,324.0,0.43907793633369924,78.0,0.1065777607739185,10.978303587158326
Washington,San Juan,17827,18615,18662,620,2372,4052,7413,4.3,16.4,28.0,51.3,1997.0,86.17114561303967,0.938773404858926,2.867901170887708,2.4758859029246403,0.448754319905091,2.03,36.571795865662,1450.0,7.769799592755332,185.0,0.99382218640881,44.0,0.24681662646547373,10.727907601396723
Washington,Jefferson,33063,33561,33589,1057,5832,8799,11695,3.9,21.3,32.1,42.7,3699.0,86.7564847942755,1.3305008944543828,4.329718246869409,2.683363148479428,0.6149373881932022,2.11,6.60503139889385,3198.0,9.520974128434904,415.0,1.2365543338994667,106.0,0.32060006653963646,11.021721641190668
Alaska,Haines,2086,2074,2056,33,564,467,367,2.3,39.4,32.6,25.6,223.0,77.17206132879046,0.6814310051107325,15.885860306643954,2.044293015332197,0.8091993185689949,2.41,0.415544893969977,624.0,30.35019455252918,28.0,1.3500482160077145,16.0,0.7670182166826461,10.752169720347156
Hawaii,Hawaii,200712,203792,206315,10285,42111,47704,43240,7.2,29.4,33.3,30.2,29361.0,39.36371904295509,1.3949909052749403,2.9292010633832377,28.87400307821463,23.94291311039597,2.84,18.9443032718452,28425.0,13.777476189322153,2968.0,1.4563869042945747,1469.0,0.7318944557375743,14.407336892517861
California,Sierra,3228,3295,3217,130,681,981,515,5.6,29.5,42.5,22.3,398.0,82.32445520581115,1.721818670971213,4.170029593758407,2.044659671778316,1.022329835889158,2.34,1.18686208307387,324.0,10.07149518184644,55.0,1.669195751138088,11.0,0.34076827757125155,12.078907435508345
Washington,Clallam,77357,78442,77805,4206,14746,22389,17733,7.1,25.0,37.9,30.0,9204.0,81.60790078960473,1.5993645223247102,8.601474877291158,2.722120788182012,0.5513005951675243,2.24,16.5410432314785,11901.0,15.295932138037402,1325.0,1.689146120700645,299.0,0.3865196426955544,11.733510109380179
New Mexico,Harding,655,636,628,54,116,132,101,13.4,28.8,32.8,25.1,111.0,70.44917257683215,1.3002364066193852,3.4278959810874707,1.3002364066193852,0.2364066193853428,2.18,0.0833793050914616,85.0,13.535031847133757,12.0,1.8867924528301887,4.0,0.6106870229007634,17.452830188679243
Washington,Island,86990,87557,86625,2842,13698,24170,21894,4.5,21.9,38.6,35.0,6905.0,79.02840538947544,4.05244708242423,3.17453752055177,6.534170225526591,1.071277156772519,2.31,151.165669967486,10635.0,12.277056277056277,1785.0,2.0386719508434505,488.0,0.5609840211518565,7.886291216007859
California,Trinity,16089,16061,15781,764,4800,4605,2324,6.1,38.4,36.9,18.6,3010.0,73.39876326090656,0.7942361150507744,6.830430589436659,13.513360186078174,0.5162534747830034,2.17,1.56200946498919,1485.0,9.410050060198975,329.0,2.0484403212751383,63.0,0.3915718814096587,18.741049747836374
Montana,Petroleum,500,522,524,2,137,99,94,0.6,41.3,29.8,28.3,67.0,92.61363636363636,0.946969696969697,2.272727272727273,1.1363636363636365,1.893939393939394,2.31,0.100745144084347,35.0,6.679389312977099,12.0,2.2988505747126435,5.0,1.0,12.835249042145595
Colorado,Hinsdale,788,773,775,27,120,249,348,3.6,16.1,33.5,46.8,59.0,85.40478905359178,3.30672748004561,3.30672748004561,3.534777651083238,2.0524515393386547,2.26,0.303426738221774,131.0,16.903225806451612,18.0,2.3285899094437257,5.0,0.6345177664974619,7.632600258732213
Virginia,Fairfax city,24175,24391,24835,1176,2210,2931,10038,7.2,13.5,17.9,61.4,1747.0,59.4120244315255,5.298403120170726,1.6447126352196628,18.927073368165427,0.1950106703951726,2.72,1476.54520471141,2056.0,8.278639017515603,568.0,2.3287278094379076,178.0,0.7362978283350569,7.162477963183142
Oregon,Wheeler,1460,1453,1445,118,362,432,223,10.4,31.9,38.1,19.6,248.0,85.50093341630367,1.2445550715619167,5.849408836341008,2.0535158680771626,0.9956440572495332,2.13,0.32084779272761,246.0,17.024221453287197,34.0,2.3399862353750858,1.0,0.0684931506849315,17.068134893324157
Oregon,Tillamook,27466,27800,27574,1902,5995,7925,4559,9.3,29.4,38.9,22.4,3974.0,83.3394081977534,0.9377381622982868,4.055800391000364,1.888730574240366,0.7820007289837304,2.34,9.13305677111626,3827.0,13.879016464785668,664.0,2.3884892086330938,95.0,0.34588218160634965,14.29496402877698
Maine,Hancock,55500,56403,56701,2025,13222,12085,15046,4.8,31.2,28.5,35.5,6077.0,92.74870327928176,1.170064275990419,2.145405042132653,1.5577880787854768,0.103393014078682,2.24,13.2682748856057,7983.0,14.07911677042733,1353.0,2.398808574012021,151.0,0.27207207207207207,10.77424959665266
Oregon,Clatsop,41160,41916,41695,2361,8241,11680,7729,7.9,27.5,38.9,25.8,5315.0,84.64245150658085,1.1758679820947375,3.5587822639912696,2.4452709173106477,0.6614257399282899,2.37,17.9786242773207,4810.0,11.536155414318264,1011.0,2.4119667907243056,295.0,0.716715257531584,12.680122149060026
Oregon,Wallowa,7401,7554,7659,334,1574,2131,1538,6.0,28.2,38.2,27.6,958.0,89.92796663717932,0.7708833565019588,3.424744092000505,1.0994565904208264,0.4423101225830911,2.15,0.849796256990401,1267.0,16.542629586107847,188.0,2.4887476833465714,69.0,0.9323064450749898,12.6820227693937
Vermont,Windsor,57744,58350,58142,2521,12237,11061,17363,5.8,28.3,25.6,40.2,5547.0,91.63315350662089,1.5072748079123752,2.493052149746608,1.5334314206310282,0.1078960274644433,2.24,22.0719633461461,9638.0,16.57665714973685,1477.0,2.5312767780634107,149.0,0.25803546688833473,9.50642673521851
New Mexico,Catron,3611,3726,3827,151,1224,1059,494,5.2,41.8,36.2,16.9,737.0,83.33754102499368,1.4390305478414542,3.332491795001262,0.8078767987881849,0.2524614996213077,2.46,0.197339545334343,420.0,10.974653775803501,95.0,2.549651100375738,14.0,0.3877042370534478,19.779924852388618
Maine,Waldo,39654,39984,40241,2043,9530,8172,9681,6.9,32.4,27.8,32.9,5124.0,93.64160455411631,0.9045517041754106,2.3687193960006754,0.914200255686615,0.1061340666232481,2.27,20.8492965884332,6467.0,16.070674188017197,1022.0,2.5560224089635852,188.0,0.4741009734200837,12.815126050420167
California,Mariposa,17118,17107,17020,1233,3028,5351,3901,9.1,22.4,39.6,28.9,2387.0,79.02975821450713,1.3794172349659022,6.89708617482951,2.614176482744369,0.6251291589171317,2.13,4.67425188076992,3145.0,18.478260869565215,458.0,2.677266616005144,89.0,0.5199205514662928,13.953352428830303
Nevada,Storey,4106,4145,4170,184,825,1173,860,6.0,27.1,38.6,28.3,290.0,83.11149901811041,1.331005891337552,4.473052585642592,3.098407156884137,1.0037093606807768,2.44,5.76438580987713,133.0,3.1894484412470026,111.0,2.6779252110977083,25.0,0.6088650754992694,6.996381182147165
Nebraska,Sioux,1144,1151,1127,40,194,336,195,5.2,25.4,43.9,25.5,177.0,93.48561759729272,0.8460236886632826,1.94585448392555,0.7614213197969544,0.338409475465313,2.19,0.236515050802556,68.0,6.033717834960071,31.0,2.6933101650738487,14.0,1.2237762237762237,15.377932232841008
Hawaii,Honolulu,1012305,1004673,995638,51255,180820,218647,256030,7.3,25.6,30.9,36.2,96646.0,27.25857515556392,2.8242853247118767,1.85327774302168,46.09562641910603,18.94970476761296,3.05,634.951785126835,178469.0,17.92508923926166,27157.0,2.7030685606162406,14264.0,1.4090614982638632,9.619647387757011
New Mexico,Los Alamos,19415,19340,19187,248,1327,2716,9340,1.8,9.7,19.9,68.5,719.0,76.85998828353837,1.590734982650624,2.7218241629489435,7.034383308548511,0.2072912441980983,2.41,64.9018605269554,2880.0,15.010163131286808,530.0,2.7404343329886243,84.0,0.4326551635333505,3.7176835573940017
Oregon,Lincoln,50507,51026,50813,2793,9263,15419,11003,7.3,24.1,40.1,28.6,7633.0,81.52471045248544,1.0233076757067836,6.911373282497663,2.2606287317459177,0.5719013020645997,2.24,18.8565598845291,7223.0,14.214866274378604,1401.0,2.745659075765296,532.0,1.0533193418734037,14.959040489162387
Vermont,Orange,29299,29625,29846,1388,7347,5489,7401,6.4,34.0,25.4,34.2,2827.0,92.27964898696604,1.0775583946315654,2.8971480190992387,0.9969028261711188,0.0838817911988643,2.3,16.2622665319102,4420.0,14.809354687395295,815.0,2.7510548523206753,83.0,0.28328611898017,9.542616033755275
Maine,Knox,40657,41074,41164,1976,9759,7901,11188,6.4,31.7,25.6,36.3,4171.0,92.84056544060763,1.235436153503528,2.0700002344281128,1.0361722577771526,0.1359683053191738,2.23,42.1102304750872,6414.0,15.581576134486443,1131.0,2.753566733213225,158.0,0.3886169663280616,10.154842479427376
Maine,Aroostook,67064,67022,67255,4805,18973,15983,10133,9.6,38.0,32.0,20.3,9666.0,93.0898407120431,1.1435319872108765,3.4579600771956107,0.845407149235245,0.102255379209033,2.23,3.95110093156248,14393.0,21.400639357668574,1867.0,2.785652472322521,82.0,0.12227126327090541,14.422130046850286
Hawaii,Maui,164760,164817,164351,8772,35482,38206,35359,7.4,30.1,32.4,30.0,18548.0,38.21189441092338,1.3277966916147983,2.3790635157372697,33.14777121460078,20.75469987442824,2.99,54.9407690337212,32000.0,19.470523452853953,4640.0,2.8152435731750973,703.0,0.4266812333090556,11.253693490355971
Oregon,Curry,23516,23720,23598,1533,5208,7647,4565,8.1,27.5,40.3,24.1,3488.0,85.532758218699,0.8898733193440583,5.786119530582109,1.7564311805393644,0.3303023237739955,2.13,5.33658846624705,3385.0,14.344435969149927,668.0,2.816188870151771,81.0,0.344446334410614,14.704890387858347
Vermont,Addison,37343,37444,37578,1475,7605,5925,10981,5.7,29.3,22.8,42.3,2919.0,90.5081059207365,1.545309694225954,2.25600040466375,2.291408482763853,0.1264574217860846,2.31,18.6111273289705,5939.0,15.804460056415989,1061.0,2.833564790086529,147.0,0.39364807326674345,7.795641491293666
Maine,Washington,31087,31166,31437,2010,8588,6731,5469,8.8,37.7,29.5,24.0,5602.0,89.34965852458008,1.052113455977358,6.512643819602534,0.8306158862979143,0.1261305605119055,2.22,4.77506785609243,4585.0,14.584725005566689,897.0,2.878136430725791,139.0,0.4471322417730884,17.974716036706667
Nevada,Eureka,1853,1909,1863,50,418,432,112,4.9,41.3,42.7,11.1,190.0,83.51648351648352,1.5289058767319637,3.8222646918299095,1.815575728619207,1.2422360248447204,2.43,0.169210084482198,165.0,8.856682769726248,55.0,2.8810895756940806,21.0,1.1332973556395036,9.952854897852278
Vermont,Grand Isle,7276,7418,7489,284,1640,1231,2323,5.2,29.9,22.5,42.4,574.0,92.01555411535968,1.1276733635774463,3.38302009073234,0.9591704471808168,0.3110823071937783,2.35,32.87212693068,1132.0,15.11550273734811,217.0,2.925316796980318,33.0,0.45354590434304565,7.737934753302778
Washington,Wahkiakum,4443,4579,4688,245,1008,1415,722,7.2,29.7,41.7,21.3,535.0,87.17152907097041,1.2621560107593628,4.386509414442375,2.1932547072211874,0.7034967928822677,2.24,6.15163831925205,537.0,11.454778156996587,134.0,2.9264031447914394,11.0,0.24758046365068648,11.683773749727015
Maine,Lincoln,35249,35985,36215,1636,8609,6553,10109,6.1,32.0,24.4,37.6,3266.0,94.16734805124013,0.8203870264377214,2.022349414009267,1.065685472880894,0.1171981466339602,2.17,28.8534916982215,5578.0,15.40245754521607,1062.0,2.9512296790329304,97.0,0.2751851116343726,9.076003890509934
Washington,Skamania,12033,12207,12460,648,2891,3168,2341,7.2,32.0,35.0,25.9,1324.0,85.69044006069802,1.244309559939302,4.711684370257967,2.215477996965099,0.7966616084977238,2.47,2.70554193468086,1531.0,12.287319422150883,361.0,2.9573195707381013,80.0,0.6648383611734398,10.846235766363561
Virginia,Falls Church city,14677,14546,14586,262,639,1178,7681,2.7,6.5,12.1,78.7,581.0,71.93778746066329,4.932219801500847,1.458484628419269,12.702735415153716,0.2360203340595497,2.66,2654.0182424841,2226.0,15.261209378856439,431.0,2.9630138869792386,83.0,0.5655106629420181,3.994225216554379
Vermont,Windham,45850,46128,45842,2149,10352,7608,13888,6.3,30.4,22.4,40.9,5065.0,90.13316449491442,2.1486050406437647,2.5366610841060413,1.5767329765940932,0.1143744128099342,2.16,21.2096317380194,6994.0,15.25675145063479,1381.0,2.9938432188692334,169.0,0.3685932388222464,10.980315643426986
Minnesota,Cook,5595,5623,5708,152,1058,1321,1863,3.5,24.1,30.1,42.4,540.0,83.77833753148614,1.3266162888329136,10.428211586901764,1.276238455079765,0.2350965575146935,1.94,1.41188074685143,594.0,10.406447091800981,170.0,3.023297172327939,39.0,0.6970509383378015,9.603414547394628
Washington,Kitsap,275802,276591,277673,9181,40579,74722,67073,4.8,21.2,39.0,35.0,23100.0,75.88018139509435,4.323099551661876,4.01734131952379,7.895321255346746,1.9220928024512156,2.51,256.478251982443,41506.0,14.94779830952235,8467.0,3.061198665177103,1888.0,0.6845490605579364,8.351681725001898
Washington,Columbia,3949,4015,4026,273,614,1343,817,9.0,20.2,44.1,26.8,529.0,86.83232698560148,0.9057129586623316,3.646075243845796,1.3934045517882026,0.8592661402693916,2.23,1.7785188570349,613.0,15.22603079980129,125.0,3.1133250311332503,23.0,0.5824259306153456,13.175591531755915
Vermont,Washington,59756,60023,60048,2301,11185,10408,18765,5.4,26.2,24.4,44.0,5015.0,90.74932072686153,1.781030610482009,2.4343892824048625,1.5752854517755337,0.1162224560631998,2.26,32.8627932121356,12430.0,20.700106581401545,1891.0,3.1504589907202236,278.0,0.4652252493473459,8.35513053329557
Oregon,Gilliam,2017,2015,2018,97,478,575,328,6.6,32.3,38.9,22.2,205.0,87.50574184657786,0.8727606798346348,4.685346807533303,1.8373909049150208,1.33210840606339,2.22,0.611176039475829,284.0,14.073339940535185,64.0,3.1761786600496276,18.0,0.8924144769459593,10.173697270471465
Oregon,Douglas,111288,112057,112297,7716,26143,32440,15307,9.5,32.0,39.8,18.8,18301.0,86.84801823979382,0.8682075767839146,5.22907132354156,1.8900655905628891,0.5129942009351198,2.37,8.30553484540074,20020.0,17.827724694337338,3572.0,3.18766342129452,581.0,0.5220688663647474,16.331866817780234
California,Humboldt,136261,134836,135010,8451,21654,34447,29263,9.0,23.1,36.7,31.2,25781.0,73.56958478720507,2.509306940967403,9.966533926556236,3.863515494273151,0.7776322104471223,2.43,14.691077966102,20952.0,15.518850455521813,4323.0,3.2061170607256226,658.0,0.4828967936533564,19.12026461775787
Oregon,Sherman,1873,1912,1955,163,397,494,231,12.7,30.9,38.4,18.0,243.0,85.18518518518519,0.913900913900914,4.136604136604136,2.5974025974025974,1.3468013468013469,2.16,0.752407833045395,321.0,16.419437340153454,63.0,3.2949790794979084,23.0,1.2279765082754939,12.709205020920503
Oregon,Coos,64971,65119,64990,4854,14537,19301,9645,10.0,30.1,39.9,20.0,11136.0,85.20895795504131,0.9853187506158242,6.187801753867376,1.981898286952972,0.5841532592936672,2.34,15.315037571779,10849.0,16.693337436528697,2147.0,3.2970408022236213,320.0,0.49252743531729537,17.100999708226478
Maine,Piscataquis,16805,17184,17417,1113,5043,4136,2619,8.6,39.1,32.0,20.3,2376.0,92.701722574796,0.878286491387126,2.691523118766999,1.206935630099728,0.1416591115140525,2.25,1.64606394775223,3112.0,17.867600620083827,570.0,3.3170391061452515,23.0,0.1368640285629277,13.8268156424581
Oregon,Benton,95208,96277,97630,2143,8353,16468,30853,3.7,14.4,28.5,53.4,15593.0,79.4882325972339,1.863490486742569,2.870214716894628,8.187514327194927,0.7335523802246504,2.4,51.3406277385844,16301.0,16.696712076206087,3196.0,3.3195882713420652,585.0,0.6144441643559365,16.19597619369112
Vermont,Lamoille,25917,26147,26090,1209,4519,4762,7745,6.6,24.8,26.1,42.5,2222.0,91.48874469858993,1.7399499764381776,2.522927465835357,0.9932214448834596,0.1667452060753253,2.32,21.2609721715667,3964.0,15.193560751245688,882.0,3.373235935288943,88.0,0.33954547208396035,8.498106857383256
Oregon,Columbia,52730,53229,53588,3606,12418,14970,6786,9.5,32.9,39.6,18.0,5361.0,86.47948539638386,1.3247566063977747,4.61230876216968,2.343532684283728,0.5945757997218358,2.61,29.8332398571,7987.0,14.904456221542137,1838.0,3.4530049409156662,334.0,0.6334155129907074,10.071577523530406
Washington,Klickitat,22816,23178,23271,1582,4497,5486,5221,9.4,26.8,32.7,31.1,2978.0,81.37231312159128,0.8221045877446262,4.900545396214309,1.5078601219120948,0.4531600898299647,2.48,4.41380703632912,3612.0,15.52146448369215,807.0,3.4817499352834584,230.0,1.0080645161290323,12.848390715333505
Washington,Thurston,295988,298078,298758,11932,44636,74343,74242,5.8,21.8,36.2,36.2,29197.0,74.43030971788342,4.887054147261067,4.0996052232007285,7.9174847335933105,1.827458785963625,2.51,146.792699307179,49071.0,16.424999497921394,10398.0,3.4883486872563556,2370.0,0.8007081368163573,9.795087191943049
Vermont,Caledonia,30183,30423,30579,1555,7437,6062,6722,7.1,34.2,27.8,30.9,3687.0,91.5497359292478,1.321916309884684,2.7969624050751585,1.637551173474171,0.1125035157348667,2.39,18.0998654845958,5854.0,19.143856895254913,1071.0,3.520362883344838,64.0,0.2120398900043071,12.119120402327187
Oregon,Lane,383279,384063,382353,18736,59763,99373,85523,7.1,22.7,37.7,32.5,53989.0,81.53804533211006,2.297187621299269,4.336779702882953,3.942976110660221,0.6878624275144971,2.39,31.2570702659662,59853.0,15.653859130175519,13535.0,3.5241614006035467,3132.0,0.8171593017097205,14.057329136105274
Massachusetts,Franklin,70930,70943,70894,3450,15077,14453,20952,6.4,28.0,26.8,38.8,7464.0,87.84389834509166,2.692176558525007,2.070602428597656,2.418106952713158,0.1219544178971386,2.28,39.1694219034028,11403.0,16.08457697407397,2570.0,3.622626615733758,536.0,0.7556746087692091,10.521122591376175
California,Plumas,19749,19940,19351,820,4108,6655,3464,5.4,27.3,44.2,23.0,2545.0,83.89043852027986,1.449540445379304,5.734144222415291,1.8199277516118704,0.6584663221912296,2.28,2.82786846414243,3379.0,17.46162988992817,723.0,3.625877632898696,121.0,0.6126892500886121,12.763289869608826
Vermont,Rutland,60477,60720,60366,2780,14999,12327,14213,6.3,33.8,27.8,32.1,6135.0,91.74545906942024,1.474247325205275,2.394874346852451,1.1772207016670817,0.0886414530977855,2.27,24.6128476160329,13586.0,22.506046449988403,2273.0,3.7434123847167324,160.0,0.26456338773418,10.103754940711463
Alaska,Nome Census Area,10028,9908,9835,695,2451,1443,1033,12.4,43.6,25.7,18.4,1920.0,19.956319956319955,1.0647010647010646,75.48457548457549,2.002002002002002,0.3367003367003366,3.27,0.166814790483156,6245.0,63.49771225216065,377.0,3.8050060557125556,161.0,1.6055045871559634,19.378280177634235
Missouri,Platte,107168,108720,110534,2428,15714,21921,31960,3.4,21.8,30.4,44.4,7464.0,79.22195572274084,8.728624920193951,2.6366193294566287,3.4001691025486167,0.8023743378254792,2.54,90.8943251716872,10580.0,9.571715490256391,4200.0,3.863134657836645,1271.0,1.185988354732756,6.865342163355409
Maine,Sagadahoc,36724,37190,37393,1623,7851,7515,10522,5.9,28.5,27.3,38.2,3209.0,92.759969941178,1.5366277111243554,2.091161151563836,1.3085952683268118,0.1166074991578347,2.22,53.6302174387811,5531.0,14.791538523253015,1459.0,3.923097606883571,113.0,0.3077006861997604,8.628663619252487
Oregon,Josephine,88235,88590,87730,5990,19899,27495,11783,9.2,30.5,42.2,18.1,14593.0,85.93199499932842,1.211939619990288,4.655583911062436,2.042629692004092,0.5382954322378005,2.34,20.1412164370712,16627.0,18.95246779892853,3481.0,3.9293373969974037,333.0,0.37740125800419333,16.472513827745793
Missouri,Clay,254112,255860,257033,10957,46008,54904,58040,6.4,27.1,32.3,34.2,20470.0,79.41460555875108,8.436524387817487,3.0061968896172253,3.1396850547518533,0.5408260348950363,2.62,232.209738627726,27390.0,10.656219240331009,10169.0,3.974439146408192,3644.0,1.4340133484447803,8.000469006487924
Vermont,Franklin,50040,50433,50731,2892,13022,9444,9526,8.3,37.3,27.1,27.3,4578.0,91.32722335369992,1.191823187749868,4.101606698348043,1.0503884740137286,0.0829750320585351,2.62,29.8503336480629,10325.0,20.35244722161992,2028.0,4.021176610552614,159.0,0.3177458033573141,9.077389804294807
Maine,Penobscot,152165,152834,153704,7008,35630,33368,32587,6.5,32.8,30.7,30.0,21301.0,91.57150727468508,1.7009741316705482,2.9198908171186737,1.73039841734906,0.1114366563994691,2.36,17.2466611770463,29710.0,19.329360328943945,6165.0,4.033788293180836,453.0,0.29770315118456936,13.937343784759937
Washington,Pacific,23491,23971,24113,1747,5286,6992,4041,9.7,29.3,38.7,22.4,3171.0,82.39887001216306,1.0436693216149409,5.489072860674069,2.750421783654412,0.4786754031467022,2.31,8.80882701837827,3795.0,15.738398374320905,967.0,4.0340411330357515,164.0,0.6981397130816057,13.228484418672561
Colorado,Custer,4719,5064,5335,63,661,1532,1422,1.7,18.0,41.7,38.7,519.0,90.73777064955894,0.9823576583801122,3.3279871692060947,0.8219727345629511,0.3207698476343223,2.22,2.42546915025166,656.0,12.296157450796626,206.0,4.067930489731437,47.0,0.9959737232464506,10.248815165876778
New York,Tompkins,99784,106044,104777,3135,10847,13818,34348,5.0,17.5,22.2,55.3,14936.0,75.43743867174949,5.888380413167881,1.8947715766896205,10.818954662683767,0.1736729217863996,2.27,83.7555901184546,21144.0,20.180001336171106,4323.0,4.076609709177323,786.0,0.7877014350998156,14.084719550375317
New Mexico,Mora,4192,4203,4169,276,1320,1219,582,8.1,38.9,35.9,17.1,916.0,59.44055944055944,1.2013627398242783,3.335126412049489,0.8427469965931504,0.4841312533620225,2.96,0.914618966858049,772.0,18.517630127128808,172.0,4.092315013085892,19.0,0.4532442748091603,21.793956697596954
Oregon,Linn,128978,129948,130467,8686,25556,36702,17529,9.8,28.9,41.5,19.8,15514.0,84.43790789594632,1.2508219788300678,4.472978992695879,1.977698742107236,0.5734407149978433,2.58,20.742324478479,27257.0,20.891873040692282,5358.0,4.123187736633114,1054.0,0.817193629921382,11.938621602487148
New Hampshire,Sullivan,43069,43627,43958,3006,12105,7614,9549,9.3,37.5,23.6,29.6,3930.0,91.6058394160584,1.0905196905459154,2.847589492547751,1.3789938371432318,0.133310022291184,2.39,30.9754478164126,9725.0,22.123390509122345,1811.0,4.151099090013066,155.0,0.35988762218765236,9.00818300593669
Washington,Whatcom,227430,226718,230677,10226,32806,52627,54708,6.8,21.8,35.0,36.4,29011.0,78.56503389180202,2.0602858421793067,4.817591763652641,6.010998848957668,0.7285938099501215,2.49,39.7133103503866,39343.0,17.055449828114636,9466.0,4.175230903589481,1832.0,0.8055225783757639,12.79607265413421
Nebraska,Banner,677,689,660,34,84,223,128,7.2,17.9,47.5,27.3,71.0,90.41666666666669,0.2777777777777778,2.5,0.9722222222222222,0.4166666666666667,2.49,0.360122313246362,87.0,13.18181818181818,29.0,4.2089985486211905,6.0,0.8862629246676514,10.304789550072568
Washington,Mason,66029,67229,68166,4556,14632,19405,8892,9.6,30.8,40.9,18.7,8214.0,78.63954926480693,1.9541019650955065,7.126563144152811,2.5601209289542397,0.9536897072969632,2.61,25.2031038891509,12661.0,18.57377578264824,2839.0,4.222880007139776,602.0,0.911720607611807,12.217941662080351
Virginia,Madison,13860,13950,14000,1236,3537,2761,2467,12.4,35.4,27.6,24.7,1294.0,84.64161494919185,9.445543203982814,1.7390711314192189,1.0980017731705654,0.1568573961672236,2.54,15.8215863754233,2451.0,17.507142857142856,595.0,4.265232974910394,163.0,1.176046176046176,9.275985663082437
New York,Essex,37326,37292,36910,2562,9713,7845,8817,8.9,33.6,27.1,30.5,4022.0,91.23166932603904,2.363042322012005,2.522604665298989,1.0156269786996934,0.1317022516019552,2.26,8.12418289523024,6124.0,16.591709563803846,1598.0,4.285101362222461,232.0,0.6215506617371269,10.785154993027996
Oregon,Yamhill,107931,108436,108226,7174,17332,27440,20632,9.9,23.9,37.8,28.4,11257.0,78.98983311594931,1.511655128591017,4.3769439149192335,2.63870773552724,0.5576736563994514,2.72,55.9927328487135,18265.0,16.87672093581949,4652.0,4.290088162602826,1294.0,1.1989141210588246,10.381238703013759
Texas,King,266,256,233,39,59,26,42,23.5,35.5,15.7,25.3,30.0,86.06271777003485,2.787456445993032,3.1358885017421603,1.3937282229965158,2.787456445993032,2.51,0.0966450266498534,51.0,21.888412017167383,11.0,4.296875,1.0,0.37593984962406013,11.71875
Maine,Somerset,50460,50715,51098,3375,15546,11150,7461,9.0,41.4,29.7,19.9,7378.0,93.48447287247129,0.9916166758132582,2.6266487519633634,0.8213008345476221,0.1135438941770906,2.32,4.98916124298803,10213.0,19.987083643195426,2189.0,4.316277235531894,323.0,0.640110978993262,14.547964113181505
Oregon,Clackamas,422444,423763,423177,16842,64399,100525,115606,5.7,21.7,33.8,38.9,35044.0,80.43324436453263,1.9616867796376871,3.006084433614291,6.395645188694868,0.6594158169465133,2.59,83.7533759694779,63827.0,15.082814047077228,18353.0,4.330958578261906,4359.0,1.0318527426120385,8.269716799248638
Oregon,Polk,87950,89384,89614,4729,12871,21251,17269,8.4,22.9,37.9,30.8,9611.0,79.31260968175614,1.676912182756745,4.892191172093883,3.2327254441149007,0.8086944920516004,2.68,42.4323644554184,15778.0,17.60662396500547,3879.0,4.3397028550971095,857.0,0.9744172825469016,10.752483665980488
Oregon,Washington,601101,602494,600176,28950,71481,124532,188259,7.0,17.3,30.1,45.6,51019.0,66.81300008126898,3.247065081675323,2.8420500469143644,12.813310381003744,1.1141238095941723,2.66,310.164458597462,91092.0,15.177547919277012,26368.0,4.376475118424416,7523.0,1.2515367633725447,8.46796814574087
Maine,Franklin,29460,30275,30474,1344,7839,6188,6018,6.3,36.6,28.9,28.1,3351.0,92.83672276005458,1.06880644532519,2.27405626664934,1.6048339938925344,0.1559352868559547,2.44,6.82985840873306,6014.0,19.73485594277089,1339.0,4.422791081750619,139.0,0.471826205023761,11.068538398018166
Vermont,Chittenden,168386,169271,169301,5544,19982,25487,60163,5.0,18.0,22.9,54.1,15931.0,85.98666301473999,3.7456470338343553,1.8680722857893477,5.130211681320954,0.0967015276605496,2.33,116.605130378786,34629.0,20.454102456571434,7491.0,4.425447950328172,1159.0,0.6882995023339232,9.411535348642118
Montana,Judith Basin,2025,2052,2105,72,423,597,330,5.1,29.7,42.0,23.2,308.0,92.77673545966228,0.9849906191369606,1.9699812382739208,0.7035647279549718,0.6097560975609756,2.11,0.402893840955224,225.0,10.688836104513063,91.0,4.434697855750487,30.0,1.4814814814814816,15.009746588693956
New Hampshire,Grafton,91177,90474,91126,4510,16565,15889,27392,7.0,25.7,24.7,42.6,7288.0,89.36942543040864,1.5660651317154115,2.018253474382908,3.945239576851276,0.0964530180460485,2.39,20.2951261468896,19227.0,21.09935693435463,4036.0,4.460950107213122,370.0,0.4058040953310593,8.055352919070673
Maryland,Calvert,92905,94226,94573,3476,18283,19063,22669,5.5,28.8,30.0,35.7,5419.0,76.18802369114356,14.331557157855118,2.396846463165818,2.903947863637264,0.3001010241071251,2.85,164.955174180291,11468.0,12.126082497118627,4219.0,4.4775327404325775,1342.0,1.4444863032129596,5.7510665845944855
