state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Wisconsin,Wood,74197,74085,73993,3515,20444,18057,10798,6.7,38.7,34.2,20.4,8286.0,91.43523618220696,1.5278947709453767,1.9814682822523164,2.187520248817469,0.1244087345299034,2.24,35.6756145904473,21477.0,29.0257186490614,7664.0,10.344874131065668,3131.0,4.219847163631953,11.184450293581696
Nebraska,Greeley,2175,2184,2227,128,557,608,255,8.3,36.0,39.3,16.5,277.0,95.25939177101968,0.5813953488372093,0.8050089445438283,0.4919499105545617,0.2683363148479427,2.31,1.63300795150737,418.0,18.769645262685227,226.0,10.347985347985347,78.0,3.5862068965517238,12.683150183150182
Illinois,Henry,49172,48868,48419,2694,12017,11836,8355,7.7,34.4,33.9,23.9,4560.0,89.39839084432667,3.141502006644008,1.5457879678168869,0.7623326996562781,0.0960116750196824,2.43,23.2055542691182,12884.0,26.60938887626758,5059.0,10.352377834165507,1694.0,3.445050028471488,9.331259720062208
Alabama,Coffee,53547,54171,54805,4934,10108,12919,8202,13.6,28.0,35.7,22.7,8516.0,70.57694635107799,17.002368643994537,3.5356766195819427,2.5242483445426096,0.3215823233458393,2.56,29.1646729138119,13643.0,24.89371407718274,5609.0,10.354248583190268,2116.0,3.9516686275608346,15.720588506765612
Maryland,Allegany,67955,67691,67267,4682,19630,14082,9700,9.7,40.8,29.3,20.2,9934.0,85.92305858262857,9.166771854532197,1.7867912090994518,1.3870773200936872,0.0925653216644927,2.3,65.8251230849643,17291.0,25.705026238720325,7009.0,10.35440457372472,1399.0,2.0587153263188873,14.675510776912738
Texas,Hardin,56344,57044,57811,4385,14979,11488,7118,11.5,39.4,30.3,18.7,5485.0,85.94903030404446,5.955388966048092,2.3359716202874785,1.0173859205836582,0.137213232710296,2.74,24.442356156773,12078.0,20.892217744027953,5907.0,10.355164434471636,1499.0,2.6604429930427376,9.615384615384617
Kentucky,Logan,27515,27815,27877,2332,8174,5023,3159,12.5,43.7,26.9,16.9,4561.0,87.21974655340482,7.579027990530567,1.723297590864782,0.5048043447987746,0.0905166411363319,2.51,18.7725838618478,8369.0,30.021164400760487,2881.0,10.357720654323208,984.0,3.576231146647283,16.397627179579363
Arkansas,Miller,42579,42499,42552,3828,10586,9851,4950,13.1,36.2,33.7,16.9,8483.0,67.08077289970495,26.035450451449744,2.835148745479956,0.7431727932204893,0.1264502961599041,2.53,27.0012527090477,9596.0,22.551231434480165,4405.0,10.364949763523848,1882.0,4.420019258319829,19.960469658109602
Utah,Grand,9677,9665,9769,440,2040,2677,1896,6.2,28.9,38.0,26.9,1061.0,81.58940397350993,1.3245033112582782,5.572374645222327,1.7691579943235571,0.2554399243140965,2.38,1.01089511660296,2351.0,24.06592281707442,1002.0,10.367304707708227,213.0,2.2010953807998344,10.97775478530781
Indiana,Hancock,80187,81855,83070,3626,16350,16625,17681,6.7,30.1,30.6,32.6,4459.0,89.89545795126128,3.921218824704749,1.86130041269728,1.6353278386317955,0.1225009217302363,2.59,93.170275197192,20888.0,25.145058384495005,8487.0,10.368334249587685,1884.0,2.3495080249915823,5.447437541994991
