"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"0500000US01101","Montgomery County, Alabama","237811","null","81942","null","134029","null","3084","null","9300","null","318","null","9138","null",
"0500000US01103","Morgan County, Alabama","132063","null","97800","null","17197","null","4157","null","1473","null","165","null","11271","null",
"0500000US01105","Perry County, Alabama","8726","null","2500","null","6050","null","61","null","41","null","12","null","62","null",
"0500000US01107","Pickens County, Alabama","19644","null","11185","null","7718","null","226","null","109","null","5","null","401","null",
"0500000US01109","Pike County, Alabama","34480","null","19518","null","12707","null","711","null","751","null","51","null","742","null",
"0500000US01111","Randolph County, Alabama","22891","null","17550","null","4118","null","459","null","142","null","16","null","606","null",
"0500000US01113","Russell County, Alabama","62918","null","30507","null","27708","null","1258","null","832","null","264","null","2349","null",
"0500000US01115","St. Clair County, Alabama","95935","null","80226","null","9604","null","2549","null","1003","null","60","null","2493","null",
"0500000US01117","Shelby County, Alabama","237249","null","178163","null","31472","null","5582","null","6635","null","267","null","15130","null",
"0500000US01119","Sumter County, Alabama","12599","null","3142","null","9117","null","91","null","138","null","31","null","80","null",
"0500000US01121","Talladega County, Alabama","85247","null","53897","null","27581","null","1443","null","587","null","85","null","1654","null",
"0500000US01123","Tallapoosa County, Alabama","42767","null","29773","null","10860","null","742","null","305","null","16","null","1071","null",
"0500000US01125","Tuscaloosa County, Alabama","238262","null","146594","null","71742","null","4070","null","4373","null","254","null","11229","null",
"0500000US01127","Walker County, Alabama","68238","null","59678","null","4603","null","1708","null","431","null","44","null","1774","null",
"0500000US01129","Washington County, Alabama","16016","null","10811","null","3502","null","1484","null","50","null","27","null","142","null",
"0500000US01131","Wilcox County, Alabama","10806","null","3026","null","7598","null","69","null","16","null","6","null","91","null",
"0500000US01133","Winston County, Alabama","24633","null","22817","null","265","null","664","null","103","null","13","null","771","null",
"0500000US02013","Aleutians East Borough, Alaska","3683","null","860","null","328","null","961","null","819","null","54","null","661","null",
"0500000US02016","Aleutians West Census Area, Alaska","5647","null","1979","null","315","null","896","null","1623","null","282","null","552","null",
"0500000US02020","Anchorage Municipality, Alaska","336654","null","200463","null","22478","null","43020","null","36834","null","13350","null","20509","null",
"0500000US02050","Bethel Census Area, Alaska","19748","null","2546","null","190","null","16516","null","304","null","42","null","150","null",
"0500000US02060","Bristol Bay Borough, Alaska","1011","null","493","null","27","null","410","null","31","null","23","null","27","null",
"0500000US02063","Chugach Census Area, Alaska","7918","null","5636","null","113","null","1101","null","672","null","90","null","306","null",
"0500000US02066","Copper River Census Area, Alaska","2947","null","1868","null","38","null","896","null","59","null","31","null","55","null",
"0500000US02068","Denali Borough, Alaska","1776","null","1511","null","20","null","137","null","50","null","15","null","43","null",
"0500000US02070","Dillingham Census Area, Alaska","5417","null","1220","null","96","null","3882","null","113","null","34","null","72","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","108973","null","77349","null","6087","null","13527","null","5206","null","1089","null","5715","null",
"0500000US02100","Haines Borough, Alaska","2348","null","1812","null","16","null","373","null","48","null","19","null","80","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2699","null","1390","null","58","null","1104","null","66","null","14","null","67","null",
"0500000US02110","Juneau City and Borough, Alaska","37924","null","24572","null","798","null","6795","null","3332","null","739","null","1688","null",
